,case,model,testing_mse,beta_specificity,beta_sensitivity,beta_mse
0,1,spline_Lasso,1.1296183501088148,0.902816901408451,0.37500000000000006,0.09204001937987254
1,1,spline_Lasso/Thresh,1.204003473016778,0.8985915492957749,0.35625,0.09202440389744614
2,1,spline_MCP,0.36002519926388954,0.8971830985915494,0.40625000000000006,0.1880945316226707
3,1,spline_MCP/Thresh,1.4056110364692267,0.8894366197183101,0.33125,0.18020267923429414
4,1,smooth_Lasso,1.097325915847512,0.9077464788732397,0.2875,0.14661219276905607
5,1,smooth_Lasso/Thresh,1.1337104547883965,0.8985915492957749,0.26875,0.14771111496400693
6,1,fused_Lasso,1.0129161579339978,0.8436619718309859,0.49375,0.3305758760120855
7,1,fused_Lasso/Thresh,1.2560445888114344,0.8380281690140847,0.46875000000000006,0.32382570374173314
8,2,spline_Lasso,1.2205836476214966,0.948591549295775,0.46250000000000013,0.043258796102451154
9,2,spline_Lasso/Thresh,1.5798776804724688,0.9387323943661976,0.40625000000000006,0.043590212961528436
10,2,spline_MCP,0.11106697376828376,0.9119718309859155,0.48124999999999996,0.14413005222827308
11,2,spline_MCP/Thresh,4.24569334372445,0.8985915492957748,0.4312500000000001,0.14102165540846107
12,2,smooth_Lasso,1.5299603963458337,0.944366197183099,0.325,0.02680802710774746
13,2,smooth_Lasso/Thresh,1.4170175866785693,0.9436619718309862,0.35,0.026412214949994153
14,2,fused_Lasso,0.6638009084374638,0.8669014084507043,0.61875,0.6361249795203299
15,2,fused_Lasso/Thresh,6.177148642816202,0.8457746478873239,0.50625,0.6325743536463799
